game_id,round_in_game,round_overall,move_a,move_b,move_a_name,move_b_name,outcome
232,4,1452,x,p,Scissors,Paper,A_win
232,5,1453,s,s,Rock,Rock,Tie
232,6,1454,x,x,Scissors,Scissors,Tie
232,7,1455,s,p,Rock,Paper,B_win
232,8,1456,x,x,Scissors,Scissors,Tie
232,9,1457,s,p,Rock,Paper,B_win
233,1,1458,x,p,Scissors,Paper,A_win
233,2,1459,s,p,Rock,Paper,B_win
233,3,1460,p,x,Paper,Scissors,B_win
233,4,1461,x,p,Scissors,Paper,A_win
233,5,1462,s,x,Rock,Scissors,A_win
234,1,1463,x,x,Scissors,Scissors,Tie
234,2,1464,p,s,Paper,Rock,A_win
234,3,1465,x,s,Scissors,Rock,B_win
234,4,1466,p,x,Paper,Scissors,B_win
234,5,1467,s,s,Rock,Rock,Tie
234,6,1468,x,p,Scissors,Paper,A_win
234,7,1469,p,s,Paper,Rock,A_win
235,1,1470,x,x,Scissors,Scissors,Tie
235,2,1471,s,p,Rock,Paper,B_win
235,3,1472,x,x,Scissors,Scissors,Tie
235,4,1473,s,s,Rock,Rock,Tie
235,5,1474,p,p,Paper,Paper,Tie
235,6,1475,x,s,Scissors,Rock,B_win
235,7,1476,s,x,Rock,Scissors,A_win
235,8,1477,p,s,Paper,Rock,A_win
235,9,1478,x,p,Scissors,Paper,A_win
236,1,1479,s,x,Rock,Scissors,A_win
236,2,1480,x,p,Scissors,Paper,A_win
236,3,1481,p,x,Paper,Scissors,B_win
236,4,1482,s,p,Rock,Paper,B_win
236,5,1483,s,p,Rock,Paper,B_win
237,1,1484,s,p,Rock,Paper,B_win
237,2,1485,x,s,Scissors,Rock,B_win
237,3,1486,x,x,Scissors,Scissors,Tie
237,4,1487,x,p,Scissors,Paper,A_win
237,5,1488,p,x,Paper,Scissors,B_win
238,1,1489,s,p,Rock,Paper,B_win
238,2,1490,p,s,Paper,Rock,A_win
238,3,1491,x,s,Scissors,Rock,B_win
238,4,1492,s,p,Rock,Paper,B_win
239,1,1493,x,s,Scissors,Rock,B_win
239,2,1494,s,s,Rock,Rock,Tie
239,3,1495,p,s,Paper,Rock,A_win
239,4,1496,x,x,Scissors,Scissors,Tie
239,5,1497,x,s,Scissors,Rock,B_win
239,6,1498,s,s,Rock,Rock,Tie
239,7,1499,s,x,Rock,Scissors,A_win
239,8,1500,x,x,Scissors,Scissors,Tie
239,9,1501,p,x,Paper,Scissors,B_win
240,1,1502,p,x,Paper,Scissors,B_win
240,2,1503,p,s,Paper,Rock,A_win
240,3,1504,p,s,Paper,Rock,A_win
240,4,1505,p,p,Paper,Paper,Tie
240,5,1506,p,p,Paper,Paper,Tie
240,6,1507,s,x,Rock,Scissors,A_win
241,1,1508,p,s,Paper,Rock,A_win
241,2,1509,x,x,Scissors,Scissors,Tie
241,3,1510,p,p,Paper,Paper,Tie
241,4,1511,x,s,Scissors,Rock,B_win
241,5,1512,p,s,Paper,Rock,A_win
241,6,1513,x,x,Scissors,Scissors,Tie
241,7,1514,p,p,Paper,Paper,Tie
241,8,1515,p,p,Paper,Paper,Tie
241,9,1516,s,p,Rock,Paper,B_win
241,10,1517,x,p,Scissors,Paper,A_win
242,1,1518,x,x,Scissors,Scissors,Tie
242,2,1519,s,x,Rock,Scissors,A_win
242,3,1520,x,p,Scissors,Paper,A_win
242,4,1521,p,s,Paper,Rock,A_win
243,1,1522,x,x,Scissors,Scissors,Tie
243,2,1523,s,x,Rock,Scissors,A_win
243,3,1524,p,p,Paper,Paper,Tie
243,4,1525,p,s,Paper,Rock,A_win
243,5,1526,p,x,Paper,Scissors,B_win
243,6,1527,p,p,Paper,Paper,Tie
243,7,1528,p,x,Paper,Scissors,B_win
243,8,1529,s,x,Rock,Scissors,A_win
